countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Bosnia and Herzegovina	deaths_million	2861,579	2988,993	2995,797	3031,671	3280,007	3554,938	3892,341	4157,067	4467,873	4780,843	4859,395	4875,477	4882,59	4888,156	4902,691	4963,616	4990,521	5001,964	5010,623
Bosnia and Herzegovina	cases_million	63092,657	63405,009	63600,771	66136,08	72606,408	78167,823	85066,475	90091,324	107457,485	114797,76	116108,402	116617,752	116870,417	117121,536	119057,501	122420,389	123317,242	123692,373	123873,29
Bosnia and Herzegovina	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bosnia and Herzegovina	rep_rate	0,655	0,628	0,979	1,640	1,209	1,059	1,059	1,083	1,338	0,740	0,714	0,833	0,907	1,282	1,514	1,016	0,803	0,879	0,937
Bosnia and Herzegovina	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bosnia and Herzegovina	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Botswana	deaths_million	322,777	427,708	596,51	859,598	900,278	914,725	919,287	929,172	981,257	995,704	1021,176	1021,937	1025,358	1045,508	1053,112	1056,153	1060,335	1060,716	1060,716
Botswana	cases_million	20899,897	26491,275	40561,913	59661,255	68136,714	70940,197	74161,883	83453,979	96200,433	100349,77	116156,332	116330,457	117144,812	122711,858	123738,737	123888,53	124057,332	124071,019	124180,892
Botswana	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Botswana	rep_rate	1,337	1,416	1,375	1,124	0,856	0,744	0,736	1,118	1,067	0,709	0,274	0,206	0,303	0,375	0,543	0,434	0,227	0,136	0,094
Botswana	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Botswana	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazil	deaths_million	2151,486	2408,061	2585,421	2697,295	2772,85	2824,17	2856,231	2876,429	2914,768	3017,349	3065,4	3082,649	3096,304	3118,318	3151,284	3176,601	3186,219	3196,07	3203,074
Brazil	cases_million	76901,298	86247,707	92526,226	96534,568	99540,259	101315,638	102641,695	103532,006	118262,578	133742,522	139107,253	141413,499	144064,526	150283,273	157137,845	159905,683	161032,742	161758,312	163610,727
Brazil	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazil	rep_rate	1,008	0,988	0,922	0,919	0,971	0,913	0,955	1,096	1,533	0,957	0,814	0,897	1,139	1,222	0,981	0,864	1,003	1,087	1,317
Brazil	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazil	vacc_hundred	10,37	12,37	19,28	29,12	42,46	53,93	62,19	NA	NA	72,01	NA	NA	NA	NA	NA	NA	NA	NA	NA
British Virgin Islands	deaths_million	31,916	31,916	989,404	1180,901	1180,901	1180,901	1212,818	1244,734	1563,896	1978,808	1978,808	1978,808	1978,808	2010,724	2010,724	2042,64	2042,64	2042,64	2042,64
British Virgin Islands	cases_million	7915,23	9511,043	79790,629	81960,935	84322,737	86971,786	88503,766	111451,551	187507,979	194210,392	195997,702	202827,78	215913,443	221530,703	227594,791	232701,392	233148,219	233148,219	233148,219
British Virgin Islands	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British Virgin Islands	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British Virgin Islands	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British Virgin Islands	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei	deaths_million	6,681	6,681	6,681	20,044	93,541	195,99	216,035	218,262	218,262	278,395	463,25	485,521	496,657	501,111	501,111	501,111	501,111	501,111	501,111
Brunei	cases_million	538,973	579,062	750,553	6040,062	15848,482	29242,631	33536,599	34454,19	36694,714	141518,301	299357,241	315922,869	331121,02	365031,782	458550,296	490521,2	507249,411	529298,31	574431,74
Brunei	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei	rep_rate	0,639	0,568	0,758	1,351	1,201	1,010	0,796	0,858	1,557	1,695	0,900	0,695	1,065	1,251	1,189	0,529	0,569	0,312	0,342
Brunei	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulgaria	deaths_million	2609,867	2663,096	2685,509	2786,217	3079,053	3538,655	4195,398	4564,318	4912,743	5246,422	5386,205	5442,826	5477,477	5493,254	5511,243	5544,566	5561,523	5585,41	5608,855
Bulgaria	cases_million	61719,224	62198,732	62674,258	67199,207	74043,841	88837,511	102486,23	110161,156	140367,342	160909,207	167934,32	170559,816	171804	172846,768	177926,276	183267,214	185709,135	188600,78	189806,037
Bulgaria	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulgaria	rep_rate	0,663	0,727	1,198	1,492	1,083	1,217	0,880	0,993	1,343	0,794	0,789	0,815	0,808	1,146	1,363	0,896	0,961	0,994	0,796
Bulgaria	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bulgaria	vacc_hundred	8,26	11,88	NA	17,28	19,61	NA	NA	NA	29,44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkina Faso	deaths_million	7,321	7,409	7,454	7,542	8,115	9,438	12,614	14,025	16,142	16,539	16,848	16,892	16,936	17,068	17,068	17,068	17,068	17,068	17,068
Burkina Faso	cases_million	592,491	594,476	598,621	607,619	628,171	652,428	705,661	777,639	909,598	915,199	919,697	920,227	921,726	928,121	931,826	931,826	954,01	954,01	954,01
Burkina Faso	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkina Faso	rep_rate	0,735	0,769	0,831	1,171	1,164	0,705	0,124	0,113	0,397	0,331	0,322	0,153	0,017	0,000	0,000	0,000	0,000	0,000	0,000
Burkina Faso	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkina Faso	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burundi	deaths_million	0,465	0,621	0,698	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948	2,948
Burundi	cases_million	371,618	422,977	549,281	930,519	1375,374	1554,666	1583,837	2123,11	2904,051	2957,97	2987,606	3103,126	3261,083	3309,494	3515,087	3823,785	3894,075	3915,565	3958,08
Burundi	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burundi	rep_rate	1,044	1,091	1,180	1,057	0,731	0,718	0,881	1,013	0,718	0,767	0,959	0,973	0,947	0,986	1,152	0,872	0,564	0,521	0,300
Burundi	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burundi	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambodia	deaths_million	12,763	35,902	83,314	113,491	138,3	166,271	175,336	179,629	179,808	180,822	182,134	182,254	182,254	182,254	182,254	182,254	182,254	182,254	182,254
Cambodia	cases_million	1794,744	3004,857	4606,613	5549,608	6718,273	7068,407	7164,544	7185,954	7237,362	7769,392	8088,395	8125,728	8126,384	8127,398	8157,813	8207,373	8222,699	8229,498	8235,939
Cambodia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambodia	rep_rate	1,040	1,069	0,997	0,907	1,044	0,690	0,689	0,727	1,385	1,570	0,669	0,558	0,083	0,284	1,500	0,971	0,833	0,718	1,275
Cambodia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cambodia	vacc_hundred	11,86	18,18	28,53	50,85	65,96	77,92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cameroon	deaths_million	45,675	47,43	47,789	48,362	52,267	60,399	64,16	66,31	67,348	68,889	69,032	69,032	69,14	69,175	69,175	69,319	69,319	70,214	70,393
Cameroon	cases_million	2827,523	2896,626	2939,83	2988,586	3306,628	3671,885	3825,748	3917,922	4181,262	4271,609	4282,499	4290,953	4296,936	4301,271	4306,537	4358,015	4358,015	4428,839	4441,878
Cameroon	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cameroon	rep_rate	0,414	0,374	0,355	0,344	0,432	0,606	0,624	0,589	0,467	0,354	0,205	0,105	0,056	0,035	0,030	0,028	0,043	0,082	0,107
Cameroon	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cameroon	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canada	deaths_million	664,373	683,824	691,704	700,389	724,574	753,361	772,033	788,468	880,785	951,622	977,705	1021,081	1066,694	1090,957	1116,935	1148,505	1181,167	1213,752	1248,286
Canada	cases_million	36071,128	36920,37	37316,138	39118,64	42362,618	44732,702	46761,837	57827,951	79929,989	85878,5	90754,674	97912,62	101007,096	103040,001	106430,725	109087,643	111283,078	113611,269	115264,685
Canada	icu_million	36,069	22,598	9,076	11,286	19,842	19,348	15,031	14,303	32,064	28,579	14,511	11,91	11,286	5,929	7,827	7,801	6,501	7,567	7,333
Canada	rep_rate	0,804	0,676	1,000	1,358	1,115	0,920	1,049	1,461	0,985	0,778	0,994	0,882	0,802	1,000	1,187	0,959	1,033	1,085	1,021
Canada	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canada	vacc_hundred	5,58	30,66	58,27	66,44	70,34	73,63	75,56	76,55	78,44	80,39	81,11	NA	81,65	NA	NA	82,02	82,13	82,28	NA
Cape Verde	deaths_million	445,072	482,162	502,392	527,68	571,513	588,372	590,058	593,43	667,609	676,038	676,038	676,038	677,724	682,781	691,211	691,211	691,211	691,211	694,583
Cape Verde	cases_million	51316,504	54718,61	56967,574	59602,604	63348,63	64425,907	64687,219	70355,147	93895,091	94217,094	94328,362	94446,374	94955,51	102066,552	104792,62	105064,047	105155,084	105193,859	106272,823
Cape Verde	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cape Verde	rep_rate	0,895	0,778	0,939	1,146	0,937	0,722	0,887	1,927	0,979	0,277	0,858	1,129	1,338	1,556	0,599	0,646	0,779	0,528	0,913
Cape Verde	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cape Verde	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayman Islands	deaths_million	29,103	29,103	29,103	29,103	29,103	29,103	72,757	160,065	218,271	247,373	363,785	392,887	407,439	407,439	421,99	421,99	465,644	494,747	523,85
Cayman Islands	cases_million	8498,006	8934,548	9356,538	9894,939	12223,16	24009,779	102936,469	128314,077	200634,44	281903,903	299845,755	323375,338	368411,862	395375,571	418846,949	437370,856	446159,891	451180,117	456316,754
Cayman Islands	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayman Islands	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayman Islands	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cayman Islands	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Central African Republic	deaths_million	17,565	17,565	17,565	17,924	17,924	17,924	18,103	18,103	19,716	20,254	20,254	20,254	20,254	20,254	20,254	20,254	20,254	20,254	20,254
Central African Republic	cases_million	1270,983	1279,945	1281,737	2024,682	2038,125	2064,473	2098,528	2180,082	2494,825	2549,672	2625,67	2625,67	2625,67	2625,67	2646,282	2663,848	2672,989	2735,185	2744,326
Central African Republic	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Central African Republic	rep_rate	0,814	0,338	0,185	0,144	0,306	0,398	0,196	0,220	0,469	0,354	0,092	0,020	0,010	0,019	0,068	0,120	0,147	0,278	0,230
Central African Republic	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Central African Republic	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chad	deaths_million	9,761	9,818	9,818	9,818	9,818	9,818	9,874	10,213	10,72	10,72	10,777	10,89	10,89	10,89	10,89	10,89	10,89	10,946	10,946
Chad	cases_million	278,221	279,35	280,591	281,663	284,258	286,007	288,152	321,78	403,706	409,348	412,451	418,15	418,488	418,94	419,335	425,316	427,855	430,337	431,409
Chad	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chad	rep_rate	0,737	0,710	0,849	0,996	0,885	0,574	0,112	0,073	0,331	0,399	0,371	0,316	0,313	0,339	0,403	0,497	0,471	0,313	0,312
Chad	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chad	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chile	deaths_million	1494,613	1660,143	1808,227	1884,182	1911,268	1926,01	1956,056	1995,283	2026,195	2160,456	2886,185	2934,492	2953,111	2983,054	3039,064	3083,647	3119,507	3146,186	3184,189
Chile	cases_million	70616,438	79367,627	82421,585	83589,934	84385,14	86465,559	89919,136	92150,496	110488,327	156144,676	177054,823	181528,205	188889,557	203567,983	216364,167	229977,694	235889,067	242820,348	250973,08
Chile	icu_million	170,172	168,947	150,124	69,885	33,514	23,618	35,503	36,014	26,475	56,418	56,469	29,229	10,763	9,947	10,202	8,876	7,499	5,968	8,111
Chile	rep_rate	1,020	0,908	0,738	0,827	1,018	1,236	1,065	0,905	1,649	1,079	0,735	0,723	1,248	1,092	0,965	0,984	0,636	1,089	0,978
Chile	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chile	vacc_hundred	41,06	55,04	64,11	69,77	72,28	77,23	82,44	84,41	86,51	87,93	88,73	89,09	89,42	89,68	89,92	90,09	90,19	90,22	90,25
China	deaths_million	3,381	3,382	3,391	3,397	3,406	3,413	3,42	3,429	3,441	3,444	3,453	3,726	3,871	3,875	3,883	3,888	3,89	3,892	3,892
China	cases_million	70,408	71,254	72,445	74,182	75,348	76,425	77,934	80,769	84,207	87,485	159,899	569,001	619,896	623,231	635,388	670,805	695,178	724,314	1122,249
China	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
China	rep_rate	1,009	1,039	1,158	0,921	1,027	1,064	0,981	1,261	1,038	2,084	0,965	0,969	0,428	1,122	1,224	1,162	0,894	1,033	1,430
China	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
China	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombia	deaths_million	1711,338	2053,899	2327,234	2408,623	2434,725	2453,656	2477,695	2504,953	2588,964	2675,077	2691,54	2694,932	2696,031	2700,195	2715,135	2728,128	2733,43	2734,258	2735,107
Colombia	cases_million	65667,852	81755,402	92248,861	94634,756	95563,757	96433,364	97729,908	99422,393	113491,495	116909,815	117301,783	117451,203	117659,168	119041,864	120788,731	121440,251	121590,172	121635,359	121692,054
Colombia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombia	rep_rate	1,055	1,075	0,799	0,671	0,881	1,006	1,097	1,183	1,351	0,554	0,565	0,841	0,884	0,942	1,106	1,052	0,855	0,915	0,253
Colombia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Comoros	deaths_million	174,478	174,478	175,673	175,673	175,673	175,673	179,258	187,623	191,208	191,208	191,208	191,208	192,404	191,208	191,208	192,404	192,404	192,404	192,404
Comoros	cases_million	4638,001	4703,728	4813,673	4861,475	4948,714	5089,731	5378,933	7785,77	9359,655	9599,86	9663,198	9685,904	9703,83	9726,536	9936,865	10104,173	10123,294	10471,054	10713,65
Comoros	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Comoros	rep_rate	0,895	0,871	0,795	0,766	0,857	0,951	1,014	1,059	0,818	0,706	0,661	0,546	0,326	0,220	0,339	0,401	0,277	0,245	0,276
Comoros	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Comoros	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Congo	deaths_million	25,626	27,636	29,814	30,651	32,326	43,213	59,292	61,47	62,14	63,312	64,484	64,484	64,484	64,484	64,652	64,652	64,652	64,652	64,652
Congo	cases_million	1952,623	2109,731	2208,551	2275,883	2385,758	2901,466	3177,326	3364,749	3970,401	4023,161	4031,703	4033,043	4033,043	4041,25	4149,617	4160,002	4160,002	4160,002	4250,113
Congo	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Congo	rep_rate	0,485	0,615	0,665	0,678	0,721	0,855	0,774	0,637	0,614	0,590	0,443	0,222	0,105	0,053	0,033	0,030	0,033	0,060	0,111
Congo	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Congo	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Costa Rica	deaths_million	779,99	900,82	970,886	1062,763	1232,62	1356,731	1408,846	1419,269	1462,119	1551,294	1602,058	1622,325	1639,697	1645,487	1683,126	1709,377	1731,381	1735,241	1744,506
Costa Rica	cases_million	61570,372	71019,04	78522,848	89507,948	102721,839	108032,372	109410,721	110128,172	134122,176	155752,469	161853,608	164466,507	171987,301	174669,493	198495,957	210142,919	215793,165	218709,104	221225,879
Costa Rica	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Costa Rica	rep_rate	1,152	1,003	1,064	1,155	1,034	0,805	0,763	0,903	1,267	0,939	0,713	0,343	0,081	0,063	0,406	0,931	1,021	0,908	0,743
Costa Rica	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Costa Rica	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cote d'Ivoire	deaths_million	10,831	11,115	11,683	15,66	22,159	24,68	25	25,355	27,876	28,16	28,266	28,373	28,373	28,586	28,799	29,083	29,332	29,367	29,474
Cote d'Ivoire	cases_million	1679,371	1715,343	1780,328	1976,844	2139,625	2176,698	2191,861	2521,4	2866,35	2893,516	2902,678	2909,389	2919,51	2963,827	3029,273	3080,125	3096,815	3116,914	3120,855
Cote d'Ivoire	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cote d'Ivoire	rep_rate	0,971	1,082	1,229	1,205	0,876	0,706	0,995	1,769	0,909	0,625	0,824	0,997	1,274	1,422	1,111	0,910	0,931	0,959	0,661
Cote d'Ivoire	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cote d'Ivoire	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Croatia	deaths_million	1991,385	2036,046	2049,196	2067,805	2143,729	2287,636	2704,224	3110,888	3430,71	3738,871	3861,441	3927,192	3966,642	3985,995	4047,528	4144,046	4195,158	4253,217	4296,389
Croatia	cases_million	88374,466	89290,265	90218,965	92795,162	100435,172	116701,209	150905,837	177464,252	232526,813	261712,04	272723,957	278500,859	281984,666	284969,014	294449,802	301128,857	305773,85	309388,415	311079,082
Croatia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Croatia	rep_rate	0,667	0,657	1,144	1,293	1,226	1,241	1,116	0,959	1,213	0,723	0,882	0,871	0,839	1,185	1,205	0,911	0,982	0,883	0,930
Croatia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Croatia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cuba	deaths_million	85,443	114,518	245,982	472,967	663,206	734,557	740,622	742,227	749,095	757,568	758,995	760,422	760,689	760,689	760,689	760,779	760,779	760,779	760,779
Cuba	cases_million	12688,502	17034,394	34301,57	58227,209	78256,556	84907,616	85842,758	86156,523	93183,335	95419,471	97240,969	98369,74	98581,83	98644,619	98829,329	99047,395	99105,1	99113,929	99123,472
Cuba	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cuba	rep_rate	1,021	1,158	1,292	1,003	0,959	0,633	0,612	0,998	1,644	0,665	1,032	0,755	0,627	0,869	1,290	0,912	0,662	0,625	1,266
Cuba	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cuba	vacc_hundred	NA	11,17	NA	34,93	NA	64,96	NA	NA	87,69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curacao	deaths_million	638,165	659,089	659,089	753,244	852,631	910,17	931,094	988,633	1213,56	1365,256	1396,641	1433,257	1448,949	1454,18	1475,104	1501,258	1501,258	1516,951	1543,105
Curacao	cases_million	64193,165	64559,326	71270,525	80026,991	86309,259	89364,084	91022,268	111548,179	194211,526	203710,775	211044,447	220956,934	229446,627	233008,845	235718,433	236968,61	237313,847	237831,702	240546,521
Curacao	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curacao	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curacao	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Curacao	vacc_hundred	NA	41,17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyprus	deaths_million	402,899	418,524	468,746	569,192	616,067	641,736	666,289	712,048	818,074	955,35	1049,099	1138,384	1181,91	1196,419	1244,41	1303,561	1319,186	1332,579	1368,293
Cyprus	cases_million	82011,636	85436,833	114871,87	128693,191	134087,122	138410,749	150080,301	186189,394	286544,636	359948,081	480717,227	535955,634	546829,433	563295,822	628243,976	643162,386	656238,177	668653,258	685527,01
Cyprus	icu_million	41,294	21,205	46,875	63,616	25,669	18,973	23,437	43,526	46,875	39,062	16,741	NA	NA	NA	NA	NA	NA	NA	NA
Cyprus	rep_rate	0,674	1,149	1,294	0,820	0,824	1,118	1,328	1,359	1,119	0,996	1,095	0,693	0,852	0,903	0,954	0,967	0,614	0,549	0,536
Cyprus	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyprus	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Czechia	deaths_million	2869,071	2887,653	2894,323	2897,277	2902,518	2930,535	3151,232	3442,828	3545,744	3677,534	3782,355	3826,476	3839,15	3842,009	3857,16	3890,703	3916,909	3962,268	3991,046
Czechia	cases_million	158306,993	158880,178	159479,473	160014,351	161186,451	167991,584	204883,176	235918,75	296921,285	359660,434	387513,615	397034,398	398765,865	400343,53	406877,27	414380,993	423368,042	430629,436	434363,097
Czechia	icu_million	53,745	9,339	1,62	1,906	5,051	25,348	94,244	95,674	56,794	39,642	29,541	16,104	5,336	2,192	8,767	9,434	9,339	12,007	7,242
Czechia	rep_rate	0,691	0,719	1,046	1,035	1,240	1,567	1,343	0,926	1,365	0,856	0,872	0,732	0,602	1,183	1,338	1,003	1,122	0,960	0,747
Czechia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Czechia	vacc_hundred	14,36	31,5	46,44	54,86	57	58,23	60,84	63,46	64,68	65,24	65,38	65,46	65,51	65,56	65,58	65,61	65,64	65,65	65,67
Democratic Republic of Congo	deaths_million	7,898	9,332	10,484	10,696	10,948	11,019	11,181	12,17	12,908	13,483	13,504	13,504	13,514	13,847	14,039	14,14	14,574	14,594	14,695
Democratic Republic of Congo	cases_million	319,674	412,442	504,16	554,115	575,062	580,445	588,162	755,407	862,325	868,779	876,152	878,93	892,575	919,925	930,944	935,6	938,216	940,166	951,457
Democratic Republic of Congo	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Democratic Republic of Congo	rep_rate	1,139	1,152	1,033	0,961	0,947	0,954	1,052	1,014	0,803	0,732	0,700	0,438	0,358	0,408	0,432	0,459	0,501	0,445	0,458
