countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Antigua and Barbuda	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antigua and Barbuda	rep_rate	0,436	0,328	0,733	1,373	1,334	0,828	0,650	0,892	1,068	0,563	0,477	0,580	0,845	0,780	0,514	0,543	0,196	0,044	0,009
Antigua and Barbuda	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antigua and Barbuda	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Argentina	deaths_million	1715,94	2072,145	2323,011	2456,849	2530,832	2547,774	2561,814	2574,559	2664,736	2771,942	2812,966	2824,458	2832,083	2836,06	2842,63	2850,145	2854,231	2856,297	2857,044
Argentina	cases_million	83097,277	98227,69	108321,883	113943,816	115510,098	116211,148	117132,719	124244,512	184104,512	195574,437	198590,346	199344,439	202823,715	205825,21	210068,972	212659,989	213323,465	213553,193	213737,151
Argentina	icu_million	160,952	175,103	NA	85,98	57,174	23,841	14,304	22,171	64,711	62,931	24,961	NA	NA	NA	NA	NA	NA	NA	NA
Argentina	rep_rate	1,079	0,910	0,909	0,828	0,708	0,930	1,094	1,629	1,311	0,558	0,717	0,389	0,152	0,598	1,081	1,136	0,928	1,035	0,973
Argentina	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Argentina	vacc_hundred	6,59	9,48	16,2	34,01	50,6	58,39	67,14	73,56	77,91	80,51	81,61	82,11	82,53	82,74	82,9	83,02	83,12	83,19	83,25
Armenia	deaths_million	1596,132	1623,465	1659,43	1742,15	1912,985	2275,873	2721,48	2867,139	2896,271	3043,009	3097,676	3100,912	3101,991	3103,43	3104,869	3112,781	3122,851	3132,202	3132,562
Armenia	cases_million	80083,525	80955,679	82759,33	87084,135	94119,631	110889,806	121748,394	124054,477	132277,901	150993,069	151959,451	152084,61	152119,137	152219,839	152983,019	156231,748	159280,511	160131,805	160309,832
Armenia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Armenia	rep_rate	0,656	0,929	1,193	1,210	1,116	1,198	0,763	0,640	1,678	0,854	0,315	0,668	0,097	0,013	0,051	0,304	0,800	0,817	1,181
Armenia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Armenia	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aruba	deaths_million	1005,082	1005,082	1033,262	1371,42	1559,286	1606,252	1634,432	1700,185	1812,904	1981,984	1991,377	2545,581	2000,77	2075,917	2104,096	2132,276	2160,456	2179,243	2216,816
Aruba	cases_million	103185,264	104622,437	110183,263	136916,559	145595,957	149588,104	153617,825	192196,057	309978,489	316403,498	319052,405	327318,498	347871,011	382475,883	395269,54	402483,585	403629,566	414666,679	409932,462
Aruba	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aruba	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aruba	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aruba	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asia	deaths_million	146,061	168,384	190,538	219,852	238,687	249,096	258,173	266,839	274,764	286,723	298,093	302,632	304,289	305,938	307,831	311,79	314,571	316,192	318,296
Asia	cases_million	10860,131	11825,306	13136,631	14851,408	16078,667	16861,435	17454,172	17989,975	21347,309	24844,923	29676,602	31500,773	32461,561	33235,065	35096,175	37968,162	39273,22	40108,241	41366,486
Asia	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asia	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asia	vacc_hundred	2,24	3,39	6,05	28,53	36,65	42,35	47,97	56,12	60,54	64,14	66,79	68,13	69,2	70,14	70,88	71,42	71,75	71,91	72,01
Australia	deaths_million	34,763	34,763	35,298	38,659	50,081	66,584	76,822	86,067	146,5	199,027	229,511	276,956	326,923	379,335	453,253	533,322	581,456	598,417	616,448
Australia	cases_million	1150,534	1170,589	1313,461	2104,601	4094,408	6571,697	8085,406	16254,32	99598,929	123580,484	174695,128	227415,241	279340,393	311897,663	360457,318	383616,294	391163,717	396503,779	407217,444
Australia	icu_million	0,115	0,115	2,368	6,685	11,689	11,919	7,755	7,258	16,197	13,294	4,622	6,15	5,463	4,661	6,838	7,029	3,209	1,834	3,094
Australia	rep_rate	0,873	1,247	1,459	1,404	1,137	0,994	0,942	1,585	1,325	0,868	1,186	0,952	0,978	0,953	1,070	0,746	0,982	1,237	1,510
Australia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australia	vacc_hundred	NA	6,24	15	28,15	43,5	63,14	71,85	NA	NA	78,25	81,14	82,24	82,57	NA	NA	NA	NA	NA	NA
Austria	deaths_million	1445,476	1462,031	1469,302	1479,594	1510,803	1560,022	1723,228	1880,953	1924,803	2003,553	2120,001	2206,582	2229,066	2242,602	2272,692	2308,712	2320,345	2346,969	2372,585
Austria	cases_million	71560,336	72255,445	73184,679	76358,976	82520,538	91979,332	128407,291	142154,972	205333,405	298818,506	429777,696	466993,608	479679,722	498876,742	534032,163	554387,285	574020,9	608478,753	622133,252
Austria	icu_million	54,253	16,779	5,929	14,878	27,406	32,775	72,263	74,276	36,131	22,932	26,959	25,281	9,844	5,705	11,298	9,62	8,39	14,766	11,186
Austria	rep_rate	0,711	0,673	1,253	1,275	1,091	1,188	1,246	0,737	1,504	1,022	1,034	0,672	0,783	1,400	1,133	0,937	1,329	0,947	0,908
Austria	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Austria	vacc_hundred	17,87	35,69	52,54	59,33	61,66	63,95	67,75	73,43	76,32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Azerbaijan	deaths_million	474,316	480,205	484,936	544,116	629,943	682,945	758,442	806,906	843,207	909,145	935,695	937,336	937,722	938,108	941,101	946,604	957,417	960,024	963,499
Azerbaijan	cases_million	32241,117	32442,988	33196,217	41020,255	46717,354	51300,058	56797,989	59561,919	63570,674	75850,945	76455,497	76516,319	76536,11	76575,596	77122,223	78531,654	79304,288	79479,803	79583,973
Azerbaijan	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Azerbaijan	rep_rate	0,620	0,702	1,452	1,477	0,841	1,123	0,969	0,778	1,354	0,982	0,311	0,591	0,624	0,622	0,800	1,128	0,764	0,735	0,964
Azerbaijan	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Azerbaijan	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahamas	deaths_million	560,991	600,016	700,019	863,438	1295,157	1568,335	1636,629	1748,827	1819,561	1880,538	1922,003	1946,394	1975,663	1992,736	2004,932	2007,371	2031,762	2031,762	2031,762
Bahamas	cases_million	28771,504	30698,385	36196,093	44242,65	51181,861	54516,097	55589,296	59699,163	79421,643	80819,241	81180,227	81850,976	84780,323	87746,257	89573,135	90429,255	90953,66	91187,812	91424,404
Bahamas	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahamas	rep_rate	1,112	1,133	1,239	1,140	0,988	0,752	0,936	1,347	1,024	0,643	0,808	1,140	1,255	1,017	0,953	0,918	0,949	0,557	0,545
Bahamas	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bahamas	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
